Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
NARROS DE SALDUEÑA,ÁVILA,,ÁVILA,342470.69,4526549.14,106,ÁVILA,MUÑANA,33825.913872007826
NAVA DEL BARCO,ÁVILA,,ÁVILA,283974.71,4463411.18,83,SALAMANCA,LINARES DE RIOFRÍO,45626.290523988566
NAVALONGUILLA,ÁVILA,,ÁVILA,287612.71,4461564.22,185,SALAMANCA,LINARES DE RIOFRÍO,49481.53612299649
NAVARREDONDA DE GREDOS,ÁVILA,,ÁVILA,318621.47,4470139.73,446,ÁVILA,MUÑANA,27419.76244941535
NAVARREDONDILLA,ÁVILA,,ÁVILA,345568.28,4479693.04,158,ÁVILA,MUÑANA,22389.76992861237
NAVATEJARES,ÁVILA,,ÁVILA,285017.71,4468101.13,50,SALAMANCA,LINARES DE RIOFRÍO,43101.53694555331
OJOS-ALBOS,ÁVILA,,ÁVILA,371899.67,4507277.95,96,ÁVILA,MUÑANA,44042.68183308108
PALACIOS DE GODA,ÁVILA,,ÁVILA,350144.06,4553375.21,397,ÁVILA,MUÑANA,61627.82960314048
PAPATRIGO,ÁVILA,,ÁVILA,345663.7,4525957.12,219,ÁVILA,MUÑANA,34647.74672872422
SALVADIÓS,ÁVILA,,ÁVILA,323375.6,4527199.19,71,ÁVILA,MUÑANA,32482.885101796885
SAN BARTOLOMÉ DE BÉJAR,ÁVILA,,ÁVILA,274059.66,4476479.12,49,SALAMANCA,LINARES DE RIOFRÍO,29361.12522988325
SAN JUAN DE LA ENCINILLA,ÁVILA,,ÁVILA,344875.65,4521383.12,70,ÁVILA,MUÑANA,30267.58369307529
SAN JUAN DE LA NAVA,ÁVILA,,ÁVILA,357261.28,4482202.0,426,ÁVILA,MUÑANA,30682.01088485887
SAN PASCUAL,ÁVILA,,ÁVILA,351999.77,4527187.08,45,ÁVILA,MUÑANA,39014.79100278404
SAN VICENTE DE ARÉVALO,ÁVILA,,ÁVILA,348486.85,4536764.15,165,ÁVILA,MUÑANA,45595.844698332396
SANTA CRUZ DEL VALLE,ÁVILA,,ÁVILA,329614.25,4457524.04,304,ÁVILA,MUÑANA,37778.136540709405
SERRANILLOS,ÁVILA,,ÁVILA,337663.23,4466953.0,252,ÁVILA,MUÑANA,29496.41222928798
SIGERES,ÁVILA,,ÁVILA,336966.58,4518277.15,41,ÁVILA,MUÑANA,24152.833353917846
SINLABAJOS,ÁVILA,,ÁVILA,346106.02,4548941.22,135,ÁVILA,MUÑANA,56146.00366447637
