Municipio,Provincia,Comarca,cluster,CoordenadaX,CoordenadaY,Población,area_servicio,helipuerto_municipio,distancia_helipuerto
EL TEJADO,SALAMANCA,,SALAMANCA,284462.67,4479842.11,83,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,54531.51554656233
EL TORNADIZO,SALAMANCA,,SALAMANCA,255203.66,4491934.09,86,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,31765.555676180284
ENCINA DE SAN SILVESTRE,SALAMANCA,,SALAMANCA,240026.18,4545001.02,100,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,24503.316134514957
ENCINAS DE ABAJO,SALAMANCA,,SALAMANCA,292042.45,4534394.3,619,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,41675.269253000595
ENCINASOLA DE LOS COMENDADORES,SALAMANCA,,SALAMANCA,203122.07,4548266.52,148,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,54618.16541396532
ESPADAÑA,SALAMANCA,,SALAMANCA,223948.14,4550858.84,34,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,39036.9698977212
FRESNO ALHÁNDIGA,SALAMANCA,,SALAMANCA,279006.5,4510128.17,181,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,30312.684404923657
GALINDO Y PERAHUY,SALAMANCA,,SALAMANCA,258179.34,4536378.17,704,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,14350.404971250742
GALINDUSTE,SALAMANCA,,SALAMANCA,285184.57,4504423.14,400,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,38449.700706462114
GALISANCHO,SALAMANCA,,SALAMANCA,284354.51,4513465.18,325,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,34060.39628332745
GALLEGOS DE SOLMIRÓN,SALAMANCA,,SALAMANCA,292544.66,4490276.1,109,ÁVILA,MUÑOGALINDO,47003.49290817448
GARCIRREY,SALAMANCA,,SALAMANCA,236298.3,4532437.91,55,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,17894.756412639515
GEJUELO DEL BARRO,SALAMANCA,,SALAMANCA,237581.15,4552025.03,31,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,31861.448694386374
HERGUIJUELA DEL CAMPO,SALAMANCA,,SALAMANCA,257778.59,4501674.04,62,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,22644.325284805866
HINOJOSA DE DUERO,SALAMANCA,,SALAMANCA,180615.14,4544086.3,577,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,74107.81401836105
HORCAJO MEDIANERO,SALAMANCA,,SALAMANCA,296545.64,4501480.07,205,ÁVILA,MUÑOGALINDO,42873.55299881852
HUERTA,SALAMANCA,,SALAMANCA,292304.46,4538168.33,285,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,43061.77931564491
LA ALAMEDILLA,SALAMANCA,,SALAMANCA,175503.56,4487230.64,101,SALAMANCA,MATILLA DE LOS CAÑOS DEL RÍO,84496.53866203057
